JUDET,UAT,COD SIRUTA,NR. Birou electoral,Nr SV,Sediu SV,Adresa SV,Adresa SV descriptivă,Localitate componentă / Sat aparţinător,Cod Arteră,Arteră,Număr imobil / Alfabetic,Observaţii
B,BUCUREŞTI SECTORUL 1,179141,42,1,LICEUL TEORETIC ”NICOLAE IORGA”,"Loc. BUCUREŞTI SECTORUL 1,  Bulevardul Ion Mihalache (Bulevardul 1 Mai) , Nr. 126",Bld - MIHALACHE ION - 126; CP 011203,BUCUREŞTI SECTORUL 1,,,nr. -#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,61602,Intrarea 1 Mai,integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,62084,Piaţa Domenii,integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,99991,Domiciliul pe raza sec. 1 (D),integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,61601,Bulevardul Ion Mihalache (Bulevardul 1 Mai),numere impare nr. 75 -109#,
B,BUCUREŞTI SECTORUL 1,179141,42,2,LICEUL TEORETIC ”NICOLAE IORGA”,"Loc. BUCUREŞTI SECTORUL 1,  Bulevardul Ion Mihalache (Bulevardul 1 Mai) , Nr. 126",Bld - MIHALACHE ION - 126; CP 011203,BUCUREŞTI SECTORUL 1,61601,Bulevardul Ion Mihalache (Bulevardul 1 Mai),numere impare nr. 111 -119# numere pare nr. 64 -72#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,60834,Aleea Lt. Gheorghe Stâlpeanu (Aleea Lt. av. Gheorghe Stîlpeanu),integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,3,LICEUL TEORETIC ”NICOLAE IORGA”,"Loc. BUCUREŞTI SECTORUL 1,  Bulevardul Ion Mihalache (Bulevardul 1 Mai) , Nr. 126",Bld - MIHALACHE ION - 126; CP 011203,BUCUREŞTI SECTORUL 1,61601,Bulevardul Ion Mihalache (Bulevardul 1 Mai),numere impare nr. 121 -299 BIS# nr. 301 -319# nr. 319 B#,
B,BUCUREŞTI SECTORUL 1,179141,42,4,LICEUL TEORETIC ”NICOLAE IORGA”,"Loc. BUCUREŞTI SECTORUL 1,  Bulevardul Ion Mihalache (Bulevardul 1 Mai) , Nr. 126",Bld - MIHALACHE ION - 126; CP 011203,BUCUREŞTI SECTORUL 1,61601,Bulevardul Ion Mihalache (Bulevardul 1 Mai),numere pare nr. 150 -160 A# nr. 160 B#,
B,BUCUREŞTI SECTORUL 1,179141,42,5,LICEUL TEORETIC ”NICOLAE IORGA”,"Loc. BUCUREŞTI SECTORUL 1,  Bulevardul Ion Mihalache (Bulevardul 1 Mai) , Nr. 126",Bld - MIHALACHE ION - 126; CP 011203,BUCUREŞTI SECTORUL 1,61601,Bulevardul Ion Mihalache (Bulevardul 1 Mai),numere pare nr. 74 -148 B#,
B,BUCUREŞTI SECTORUL 1,179141,42,6,LICEUL GRECO-CATOLIC ”TIMOTEI CIPARIU”,"Loc. BUCUREŞTI SECTORUL 1,  Strada Bucegi , Nr. 97",Str - BUCEGI - 97; CP 012315,BUCUREŞTI SECTORUL 1,58079,Strada Ionel Fernic (Strada Fermei) (D),integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,58236,Strada Galileea,integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,58236,Strada Galileea (Strada Galileia) (D),integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,62202,Strada Ionel Fernic (Strada Fermei),integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,58700,Strada Iser Iosif (Strada Pictor Iosif Iser),integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,60792,Strada Lt. Grigore Stamatescu (Strada Av. Grigore Stamatescu),integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,58191,Strada Lt. Vasile Fuică (Strada Lt.Av. Fuică Vasile),integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,57066,Strada Mr. Nicolae Capşa (Strada Maior Av. Niculaie Capşa),integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,59727,"Strada Parâng (Strada Parângului, Strada Parîngului)",integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,59727,"Strada Parâng (Strada Parângului, Strada Parîngului) (D)",integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,60058,Strada Popişteanu (Strada Av. Popişteanu),integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,60444,Strada Săcele,integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,61077,Strada Târnava (Strada Tîrnava),integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,61125,Strada Traian Vasile (Strada Av. Vasile Traian),integral#,
